;Temperatura;;Pressão;;Volume;
{ temperatura:;23,8;, pressao:;6;, volume:;1,1;},
{ temperatura:;24,4;, pressao:;6;, volume:;1,1;},
{ temperatura:;25;, pressao:;6;, volume:;1,1;},
{ temperatura:;25,5;, pressao:;6;, volume:;1;},
{ temperatura:;26,1;, pressao:;6;, volume:;1;},
{ temperatura:;26,6;, pressao:;6;, volume:;1;},
{ temperatura:;27,2;, pressao:;6;, volume:;1;},
{ temperatura:;27,7;, pressao:;6;, volume:;1;},
{ temperatura:;28,3;, pressao:;6;, volume:;1;},
{ temperatura:;28,8;, pressao:;6;, volume:;1;},
{ temperatura:;29,4;, pressao:;6;, volume:;0,9;},
{ temperatura:;30;, pressao:;6;, volume:;0,9;},
{ temperatura:;30,8;, pressao:;6;, volume:;0,9;},
{ temperatura:;31,1;, pressao:;6;, volume:;0,9;},
{ temperatura:;31,6;, pressao:;6;, volume:;0,9;},
{ temperatura:;32,2;, pressao:;6;, volume:;0,9;},
{ temperatura:;0;, pressao:;8;, volume:;2,6;},
{ temperatura:;0,5;, pressao:;8;, volume:;2,6;},
{ temperatura:;1,1;, pressao:;8;, volume:;2,5;},
{ temperatura:;1,6;, pressao:;8;, volume:;2,5;},
{ temperatura:;2,2;, pressao:;8;, volume:;2,4;},
{ temperatura:;2,7;, pressao:;8;, volume:;2,4;},
{ temperatura:;3,3;, pressao:;8;, volume:;2,3;},
{ temperatura:;3,8;, pressao:;8;, volume:;2,3;},
{ temperatura:;4,4;, pressao:;8;, volume:;2,2;},
{ temperatura:;5;, pressao:;8;, volume:;2,2;},
{ temperatura:;5,5;, pressao:;8;, volume:;2,1;},
{ temperatura:;6,1;, pressao:;8;, volume:;2,1;},
{ temperatura:;6,6;, pressao:;8;, volume:;2,1;},
{ temperatura:;7,2;, pressao:;8;, volume:;2;},
{ temperatura:;7,7;, pressao:;8;, volume:;2;},
{ temperatura:;8,3;, pressao:;8;, volume:;1,9;},
{ temperatura:;8,8;, pressao:;8;, volume:;1,9;},
{ temperatura:;9,4;, pressao:;8;, volume:;1,9;},
{ temperatura:;10;, pressao:;8;, volume:;1,8;},
{ temperatura:;10,5;, pressao:;8;, volume:;1,8;},
{ temperatura:;11,1;, pressao:;8;, volume:;1,8;},
{ temperatura:;11,6;, pressao:;8;, volume:;1,7;},
{ temperatura:;12,2;, pressao:;8;, volume:;1,7;},
{ temperatura:;12,7;, pressao:;8;, volume:;1,7;},
{ temperatura:;13,3;, pressao:;8;, volume:;1,6;},
{ temperatura:;13,8;, pressao:;8;, volume:;1,6;},
{ temperatura:;14,4;, pressao:;8;, volume:;1,6;},
{ temperatura:;15;, pressao:;8;, volume:;1,6;},
{ temperatura:;15,5;, pressao:;8;, volume:;1,5;},
{ temperatura:;16,1;, pressao:;8;, volume:;1,5;},
{ temperatura:;16,6;, pressao:;8;, volume:;1,5;},
{ temperatura:;17,2;, pressao:;8;, volume:;1,5;},
